ts,appid,name,players
2025-05-25T00:00:00Z,1934570,South of Midnight,204
2025-05-25T00:00:00Z,3159330,Assassin's Creed Shadows,5702
2025-05-26T00:00:00Z,1934570,South of Midnight,223
2025-05-26T00:00:00Z,3159330,Assassin's Creed Shadows,4360
2025-05-27T00:00:00Z,1934570,South of Midnight,221
2025-05-27T00:00:00Z,3159330,Assassin's Creed Shadows,3951
2025-05-28T00:00:00Z,1934570,South of Midnight,148
2025-05-28T00:00:00Z,3159330,Assassin's Creed Shadows,3877
2025-05-29T00:00:00Z,1934570,South of Midnight,153
2025-05-29T00:00:00Z,3159330,Assassin's Creed Shadows,4665
2025-05-30T00:00:00Z,1934570,South of Midnight,141
2025-05-30T00:00:00Z,3159330,Assassin's Creed Shadows,4054
2025-05-31T00:00:00Z,1934570,South of Midnight,178
2025-05-31T00:00:00Z,3159330,Assassin's Creed Shadows,4769
2025-06-01T00:00:00Z,1934570,South of Midnight,189
2025-06-01T00:00:00Z,3159330,Assassin's Creed Shadows,5285
2025-06-02T00:00:00Z,1934570,South of Midnight,166
2025-06-02T00:00:00Z,3159330,Assassin's Creed Shadows,3705
2025-06-03T00:00:00Z,1934570,South of Midnight,138
2025-06-03T00:00:00Z,3159330,Assassin's Creed Shadows,3424
2025-06-04T00:00:00Z,1934570,South of Midnight,139
2025-06-04T00:00:00Z,3159330,Assassin's Creed Shadows,3430
2025-06-05T00:00:00Z,1934570,South of Midnight,121
2025-06-05T00:00:00Z,2443720,Concord,1
2025-06-05T00:00:00Z,3159330,Assassin's Creed Shadows,3480
2025-06-06T00:00:00Z,1934570,South of Midnight,120
2025-06-06T00:00:00Z,3159330,Assassin's Creed Shadows,3458
2025-06-07T00:00:00Z,1934570,South of Midnight,185
2025-06-07T00:00:00Z,3159330,Assassin's Creed Shadows,4385
2025-06-08T00:00:00Z,1934570,South of Midnight,306
2025-06-08T00:00:00Z,3159330,Assassin's Creed Shadows,4711
2025-06-09T00:00:00Z,1934570,South of Midnight,263
2025-06-09T00:00:00Z,3159330,Assassin's Creed Shadows,3673
2025-06-10T00:00:00Z,1934570,South of Midnight,219
2025-06-10T00:00:00Z,3159330,Assassin's Creed Shadows,3002
2025-06-11T00:00:00Z,1934570,South of Midnight,197
2025-06-11T00:00:00Z,3159330,Assassin's Creed Shadows,2789
2025-06-11T00:00:00Z,3489700,Stellar Blade,57345
2025-06-12T00:00:00Z,1934570,South of Midnight,187
2025-06-12T00:00:00Z,3159330,Assassin's Creed Shadows,2800
2025-06-12T00:00:00Z,3489700,Stellar Blade,183830
2025-06-13T00:00:00Z,1934570,South of Midnight,213
